longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,distance_with_zero,log_total_rooms,log_total_bedrooms,log_population,log_households
-114.31,34.19,15.0,5612.0,1283.0,1015.0,472.0,1.4936,66900.0,119.3135876587407,8.632662441222351,7.1569563646156364,6.922643891475888,6.156978985585555
-114.47,34.4,19.0,7650.0,1901.0,1129.0,463.0,1.82,80100.0,119.52715549196341,8.942460926820582,7.550135342488429,7.029087564149662,6.137727054086234
-114.56,33.69,17.0,720.0,174.0,333.0,117.0,1.6509,85700.0,119.41109538062197,6.579251212010101,5.159055299214529,5.808142489980444,4.762173934797756
-114.57,33.64,14.0,1501.0,337.0,515.0,226.0,3.1917,73400.0,119.40659320154813,7.313886831633462,5.820082930352362,6.244166900663736,5.420534999272286
-114.57,33.57,20.0,1454.0,326.0,624.0,262.0,1.925,65500.0,119.38689124020274,7.282073658093465,5.786897381366708,6.436150368369428,5.568344503761097
-114.58,33.63,29.0,1387.0,236.0,671.0,239.0,3.3438,74000.0,119.41337152932246,7.234898420314831,5.4638318050256105,6.508769136971682,5.476463551931511
-114.58,33.61,25.0,2907.0,680.0,1841.0,633.0,2.6768,82400.0,119.40774053636557,7.9748769005588755,6.522092798170152,7.518064181233078,6.450470422144176
-114.59,34.83,41.0,812.0,168.0,375.0,158.0,1.7083,48500.0,119.76642684826162,6.699500340161678,5.123963979403259,5.926926025970411,5.062595033026967
-114.59,33.61,34.0,4789.0,1175.0,3134.0,1056.0,2.1782,58400.0,119.41733626237023,8.47407690034261,7.069023426578259,8.050065422915965,6.962243464266207
-114.6,34.83,46.0,1497.0,309.0,787.0,271.0,2.1908,48100.0,119.7759946733902,7.311218384419629,5.733341276897746,6.668228248417403,5.602118820879701
-114.6,33.62,16.0,3741.0,801.0,2434.0,824.0,2.6797,86500.0,119.42974671328746,8.227108234348146,6.68586094706836,7.797291273547472,6.714170529909472
-114.6,33.6,21.0,1988.0,483.0,1182.0,437.0,1.625,62000.0,119.4241181671441,7.59488438721652,6.180016653652572,7.074963197966044,6.07993319509559
-114.61,34.84,48.0,1291.0,248.0,580.0,211.0,2.1571,48600.0,119.78847064722048,7.1631723908466425,5.5134287461649825,6.363028103540465,5.351858133476067
-114.61,34.83,31.0,2478.0,464.0,1346.0,479.0,3.212,70400.0,119.78556256911766,7.815207062189088,6.139884552226255,7.204892510204673,6.171700597410915
-114.63,32.76,15.0,1448.0,378.0,949.0,300.0,0.8585,45000.0,119.21935455285772,7.277938572945661,5.934894195619588,6.855408798609928,5.703782474656201
-114.65,34.89,17.0,2556.0,587.0,1005.0,401.0,1.6991,69100.0,119.84128921202408,7.846198815497425,6.375024819828097,6.912742820493176,5.993961427306569
-114.65,33.6,28.0,1678.0,322.0,666.0,256.0,2.9653,94900.0,119.47209925334032,7.425357887027151,5.7745515455444085,6.501289670540389,5.545177444479562
-114.65,32.79,21.0,44.0,33.0,64.0,27.0,0.8571,25000.0,119.24683056584776,3.784189633918261,3.4965075614664802,4.1588830833596715,3.295836866004329
-114.66,32.74,17.0,1388.0,386.0,775.0,320.0,1.2049,44000.0,119.24270711452336,7.23561914106675,5.955837369464831,6.652863029353347,5.768320995793772
-114.67,33.92,17.0,97.0,24.0,29.0,15.0,1.2656,27500.0,119.58166790942498,4.574710978503383,3.1780538303479458,3.367295829986474,2.70805020110221
-114.68,33.49,20.0,1491.0,360.0,1135.0,303.0,1.6395,44400.0,119.47000669624155,7.307202314764738,5.886104031450156,7.034387929915503,5.713732805509369
-114.73,33.43,24.0,796.0,243.0,227.0,139.0,0.8964,59200.0,119.50120417803329,6.679599185844383,5.493061443340548,5.424950017481403,4.9344739331306915
-114.94,34.55,20.0,350.0,95.0,119.0,58.0,1.625,50000.0,120.02044034246832,5.857933154483459,4.553876891600541,4.77912349311153,4.060443010546419
-114.98,33.82,15.0,644.0,129.0,137.0,52.0,3.2097,71300.0,119.8507104693168,6.467698726104354,4.859812404361672,4.919980925828125,3.9512437185814275
-115.22,33.54,18.0,1706.0,397.0,3424.0,283.0,1.625,53500.0,120.00241664233266,7.441906728051625,5.983936280687191,8.138564737261632,5.645446897643238
-115.32,32.82,34.0,591.0,139.0,327.0,89.0,3.6528,100000.0,119.89935279224821,6.3818160174060985,4.9344739331306915,5.7899601708972535,4.48863636973214
-115.37,32.82,30.0,1602.0,322.0,1130.0,335.0,3.5735,71100.0,119.9474439077382,7.379008127628304,5.7745515455444085,7.029972911706386,5.814130531825066
-115.37,32.82,14.0,1276.0,270.0,867.0,261.0,1.9375,80900.0,119.9474439077382,7.151485463904735,5.598421958998375,6.7650389767805414,5.564520407322694
